SUBJECT,SP,Start,End,Length
J,23,5969.266667,5975.925,6.658333
J,24,5989.266667,5995.925,6.658333
J,25,6009.266667,6015.925,6.658333
J,26,6029.266667,6035.925,6.658333
J,27,6049.266667,6055.925,6.658333
J,28,6071.933333,6079.925,7.991667
J,29,6095.95,6103.925,7.975
J,30,6119.933333,6127.925,7.991667
K,1,96.3,104.275,7.975
K,2,120.3,128.275,7.975
K,3,144.2833333,152.275,7.991666700000001
K,4,165.6166667,172.275,6.6583333
K,5,185.66666669999998,192.275,6.6083333
K,6,205.6166667,212.275,6.6583333
K,7,225.6166667,232.28666669999998,
K,8,245.6166667,252.275,6.6583333
K,9,265.6666667,272.275,6.6083333
K,10,285.6166667,292.275,6.6583333
K,11,305.6333333,312.275,6.6416667
K,12,325.6166667,332.275,6.6583333
K,13,345.6166667,352.275,6.6583333
K,14,365.6166667,372.275,6.6583333
K,15,385.6166667,392.275,6.6583333
K,16,405.6166667,412.275,6.6583333
K,17,425.61666669999994,432.275,6.6583333
K,18,445.61666669999994,452.275,6.6583333
K,19,465.61666669999994,472.275,6.6583333
K,20,485.61666669999994,492.275,6.6583333
K,21,505.61666669999994,512.2866667,
K,22,525.6333333,532.275,6.6416667
K,23,545.6166667,552.275,6.6583333
K,24,565.6166667,572.275,6.6583333
K,25,585.6166667,592.275,6.6583333
K,26,605.6166667,612.275,6.6583333
K,27,625.6166667,632.275,6.6583333
K,28,648.2833333,656.275,7.991666700000001
K,29,672.2833333,680.275,7.991666700000001
K,30,696.2833333,704.275,7.991666700000001
L,1,4990.1525,4998.144167,7.991667
L,2,5014.155833,5022.1475,7.991667
L,3,5038.1688890000005,5046.143889,7.975
L,4,5074.718611,5088.993611,14.275
L,5,5117.613333,5131.846667,14.233334
L,6,5160.422778,5174.697778,14.275
L,7,5203.272222,5217.547222,14.275
L,8,5246.1197219999995,5260.394722,14.275
L,9,5288.966944,5303.241943999999,14.275
L,10,5331.823333,5346.093333,14.27
L,11,5374.668333,5388.943333,14.275
L,12,5417.518333,5431.793333,14.275
L,13,5460.371111,5474.646111,14.275
L,14,5503.220556,5517.495556,14.275
L,15,5546.069444,5560.344443999999,14.275
L,16,5588.917778,5603.1927780000005,14.275
L,17,5631.773889,5646.048889,14.275
L,18,5662.055832999999,5670.0475,7.991667
L,19,5686.051111,5694.051111,8.0
M,1,5878.031111,5886.0227780000005,7.991667
M,2,5902.036389,5910.028056,7.991667
M,3,5926.0375,5934.029167000001,7.991667
M,4,5962.603333,5976.878333,14.275
M,5,6005.4525,6019.7275,14.275
M,6,6048.3125,6062.579167,14.266667000000002
M,7,6091.155,6105.4216670000005,14.266667000000002
M,8,6134.001111,6148.276111,14.275
M,9,6176.855556,6191.122222,14.266666
M,10,6219.705278,6233.971944,14.266666
M,11,6262.555832999999,6276.8225,14.266667000000002
M,12,6305.406943999999,6319.673611,14.266667000000002
M,13,6348.257222,6362.523889,14.266667000000002
M,14,6391.102778,6405.377778,14.275
M,15,6433.955,6448.221667,14.266667000000002
M,16,6476.805832999999,6491.0725,14.266667000000002
M,17,6519.65,6533.924722,14.274722
M,18,6549.9325,6557.924167,7.991667
M,19,6573.935278,6581.918611,7.983333
N,1,6790.507778,6798.499444,7.991666
N,2,6814.5030560000005,6822.411389,7.908333
N,3,6838.505,6846.496667,7.991667
N,4,6875.075,6889.341667000001,14.266667000000002
N,5,6917.920833,6932.195833,14.275
N,6,6960.778056,6975.044722,14.266666
N,7,7003.626111,7017.892778,14.266667000000002
N,8,7046.476389,7060.743056,14.266667000000002
N,9,7089.326667,7103.593333,14.266666
N,10,7132.174167,7146.449167,14.275
N,11,7175.020833,7189.295833,14.275
N,12,7217.877222,7232.143889,14.266667000000002
N,13,7260.734444,7274.992778,14.258334
N,14,7303.575278,7317.841944,14.266666
N,15,7346.420833,7360.695833,14.275
N,16,7389.274722,7403.549722,14.275
N,17,7432.126389,7446.393056,14.266667000000002
N,18,7462.406389,7470.398056,7.991667
N,19,7486.400278,7494.400278,8.0
O,1,3888.021111,3896.0127780000003,7.991667
O,2,3912.0166670000003,3920.0083329999998,7.991666
O,3,3936.018889,3944.010556,7.991667
O,4,3972.5805560000003,3986.860556,
O,5,4015.440278,4029.715278,14.275
O,6,4058.2855560000003,4072.5605560000004,14.275
O,7,4101.136111,4115.411111,14.275
O,8,4143.989167,4158.264167,14.275
O,9,4186.835,4201.11,14.275
O,10,4229.6844439999995,4243.959444,14.275
O,11,4272.534444,4286.814444,
O,12,4315.39,4329.665,14.275
O,13,4358.240556000001,4372.515556,14.275
O,14,4401.086389,4415.361389,14.275
O,15,4443.940833,4458.215833,14.275
O,16,4486.7869439999995,4501.061944,14.275
O,17,4529.635833,4543.910833,14.275
O,18,4559.924443999999,4567.916111,7.991667
O,19,4583.917222,4591.917222,8.0
P,1,5157.931389,5165.9230560000005,7.991667
P,2,5181.932778,5189.924443999999,7.991666
P,3,5205.931944,5213.923611,7.991667
P,4,5242.501667,5256.776667,14.275
P,5,5285.354167,5299.629167,14.275
P,6,5328.203611,5342.478611,14.275
P,7,5371.053889,5385.328889,14.275
P,8,5413.904444,5428.179443999999,14.275
P,9,5456.751944,5471.026944,14.275
P,10,5499.604722,5513.879722,14.275
P,11,5542.45,5556.7244439999995,14.274444
P,12,5585.300556,5599.575556000001,14.275
P,13,5628.156943999999,5642.423611,14.266667000000002
P,14,5671.0,5685.275,14.275
P,15,5713.851389,5728.126389,14.275
P,16,5756.7,5770.975,14.275
P,17,5799.556111,5813.822778,14.266667000000002
P,18,5829.832778,5837.824444,7.991666
P,19,5853.8380560000005,5861.8380560000005,8.0
Q,1,6765.281111,6773.2727780000005,7.991667
Q,2,6789.283332999999,6797.275,7.991667
Q,3,6813.286667,6821.275,7.988333
Q,4,6849.85,6864.125278,14.275278
Q,5,6892.704444,6906.979444,14.275
Q,6,6935.556111,6949.822778,14.266667000000002
Q,7,6978.408056,6992.674722,14.266666
Q,8,7021.24,7035.526944,14.286944
Q,9,7064.104167,7078.379167,14.275
Q,10,7106.951389,7121.226389,14.275
Q,11,7149.806667,7164.073333,14.266666
Q,12,7192.65,7206.925,14.275
Q,13,7235.546111,7249.779444,14.233332999999998
Q,14,7278.3508329999995,7292.625833,14.275
Q,15,7321.200278,7335.475278,14.275
Q,16,7364.053611,7378.328611,14.275
Q,17,7406.903333,7421.178333,14.275
Q,18,7437.2033329999995,7445.178333,7.975
Q,19,7461.186389,7469.211389,8.025
R,1,1247.036389,1255.028056,7.991667
R,2,1271.035833,1279.0275,7.991667
R,3,1295.0305560000002,1303.022222,7.991666
R,4,1331.6077779999998,1345.874444,14.266666
R,5,1374.453611,1388.728611,14.275
R,6,1417.302778,1431.5777779999999,14.275
R,7,1460.151944,1474.426944,14.275
R,8,1503.007778,1517.274444,14.266666
R,9,1545.8577779999998,1560.124444,14.266666
R,10,1588.706667,1602.973333,14.266666
R,11,1631.5505560000001,1645.825556,14.275
R,12,1674.406111,1688.672778,14.266667000000002
R,13,1717.251111,1731.526111,14.275
R,14,1760.1002780000001,1774.3752780000002,14.275
R,15,1802.9544440000002,1817.229444,14.275
R,16,1845.805,1860.0716670000002,14.266667000000002
R,17,1888.6558329999998,1902.9225,14.266667000000002
R,18,1918.935556,1926.9272219999998,7.991666
R,19,1942.936111,1950.9277780000002,7.991667
S,1,6427.722778,6439.714444,11.991666
S,2,6443.719722,6447.711389,3.9916669999999996
S,3,6451.719167,6463.710833,11.991666
S,4,6467.723611,6471.715278,3.9916669999999996
S,5,6475.721389,6487.7130560000005,11.991667
S,6,6491.723611,6495.715278,3.9916669999999996
S,7,6500.717222,6510.708889,9.991667
S,8,6524.717778,6534.709444,9.991666
S,9,6548.717778,6558.709444,9.991666
S,10,6574.052778,6578.711111,4.658333
S,11,6594.054443999999,6598.712778,4.658334
S,12,6614.047222,6618.713889,4.6666669999999995
S,13,6634.051389,6638.709722,4.658333
S,14,6654.053889,6658.712222,4.658333
S,15,6674.050278,6678.708611,4.658333
S,16,6694.054443999999,6698.712778,4.658334
S,17,6714.054443999999,6718.712778,4.658334
S,18,6734.048889,6738.715556,4.6666669999999995
S,19,6754.054443999999,6758.712778,4.658334
S,20,6774.050833,6778.709167,4.658334
S,21,6794.047778,6798.714444,4.666666
S,22,6814.048611,6818.715278,4.6666669999999995
S,23,6834.047778,6838.714444,4.666666
S,24,6854.048889,6858.715556,4.6666669999999995
S,25,6874.054167,6878.7125,4.658333
S,26,6894.05,6898.708333,4.658333
S,27,6914.051111,6918.709444,4.658333
S,28,6934.054167,6938.7125,4.658333
S,29,6954.051944,6958.7102780000005,4.658334
S,30,6974.053056000001,6978.711389,4.658333
S,31,6994.054167,6998.7125,4.658333
S,32,7014.054443999999,7018.712778,4.658334
S,33,7034.053056000001,7038.711389,4.658333
S,34,7052.451389,7062.443056,9.991667
S,35,7076.455833,7086.4475,9.991667
S,36,7100.453611,7110.445278,9.991667
S,37,7124.4519439999995,7134.443611,9.991667
S,38,7148.454444,7158.496111,10.041667
T,1,7078.0225,7090.014167,11.991667
T,2,7094.019167,7098.010833,3.9916660000000004
T,3,7102.021667,7114.013333,11.991666
T,4,7118.0225,7122.014167,3.9916669999999996
T,5,7126.0225,7138.014167,11.991667
T,6,7142.019167,7146.010833,3.9916660000000004
T,7,7151.0227780000005,7161.0144439999995,9.991666
T,8,7175.024444,7185.016111,9.991667
T,9,7199.021389,7209.013056000001,9.991667
T,10,7222.355556,7229.013889,6.658333
T,11,7242.356944,7249.015278,6.658334
T,12,7262.353889,7269.012222,6.658333
T,13,7282.354444,7289.012778,6.658334
T,14,7302.353333,7309.011667,6.658334
T,15,7322.355,7329.013333,6.658333
T,16,7342.355278,7349.013611,6.658333
T,17,7362.3575,7369.0158329999995,6.658333
T,18,7382.3563890000005,7389.014722,6.658333
T,19,7402.356944,7409.015278,6.658334
T,20,7422.350556,7429.008889,6.658333
T,21,7442.352778,7449.011111,6.658333
T,22,7462.352778,7469.011111,6.658333
T,23,7482.357222,7489.015556,6.658334
T,24,7502.355833,7509.014167,6.658334
T,25,7522.3525,7529.010833,6.658333
T,26,7542.35,7549.008333,6.658333
T,27,7562.356944,7569.015278,6.658334
T,28,7582.3508329999995,7589.009167,6.658334
T,29,7602.351667,7609.01,6.658333
T,30,7622.353333,7629.011667,6.658334
T,31,7642.355833,7649.014167,6.658334
T,32,7662.3563890000005,7669.014722,6.658333
T,33,7682.353056,7689.011389,6.658333
T,34,7707.705833,7717.6975,9.991667
T,35,7731.706944,7741.698611,9.991667
T,36,7755.7025,7765.694167000001,9.991667
T,37,7779.700278,7789.691944,9.991666
T,38,7803.707222,7813.6905560000005,9.983334
U,1,7747.7883329999995,7759.78,11.991667
U,2,7763.786667,7767.778333,3.9916660000000004
U,3,7771.791389,7783.783056,11.991667
U,4,7787.7897219999995,7791.781389,3.9916669999999996
U,5,7795.786667,7807.778333,11.991666
U,6,7811.787222,7815.778889,3.9916669999999996
U,7,7820.785278,7830.776944,9.991666
U,8,7844.786111,7854.777778,9.991667
U,9,7868.7869439999995,7878.778611,9.991667
U,10,7892.1197219999995,7898.778056,6.658334
U,11,7912.118332999999,7918.776667,6.658334
U,12,7932.122778,7938.781111,6.658333
U,13,7952.120556,7958.778889,6.658333
U,14,7972.123611,7978.781943999999,6.658333
U,15,7992.124444,7998.782778,6.658334
U,16,8012.116667,8018.775,6.658333
U,17,8032.1219439999995,8038.780278,6.658334
U,18,8052.122778,8058.781111,6.658333
U,19,8072.120833,8078.779167000001,6.658334
U,20,8092.117778,8098.776111,6.658333
U,21,8112.118056,8118.776389,6.658333
U,22,8132.124167,8138.7825,6.658333
U,23,8152.12,8158.778333,6.658333
U,24,8172.119444,8178.777778,6.658334
U,25,8192.120556,8198.778889,6.658333
U,26,8212.118611,8218.776944,6.658333
U,27,8232.121111,8238.779444,6.658333
U,28,8252.116944,8258.775278000001,6.658334
U,29,8272.124167,8278.7825,6.658333
U,30,8292.121389,8298.779722,6.658333
U,31,8312.122778,8318.781111,6.658333
U,32,8332.122222,8338.780556,6.658334
U,33,8352.118333,8358.776667,6.658334
U,34,8375.7725,8385.764167,9.991667
U,35,8399.7675,8409.759167,9.991667
U,36,8423.773889,8433.765556,9.991667
