SUBJECT,SESSION,HDIGMeanInverseRT,HDIGTheta0,HDIGTheta1,status
F,86,2.792743708670053,394.9017606147865,2991.4699330340673,0
F,87,3.5392225288909085,291.55773024123306,4709.6006961289395,0
F,88,2.908916834239936,358.5224933237783,4797.039586907923,0
F,89,2.7319329810165134,378.2937795300897,5883.455610764539,0
F,90,3.0512646452947436,338.3852881344672,5547.62415624022,0
F,91,3.1627785904190246,332.2033313191009,4152.121093572037,0
F,92,3.369506978561327,315.4312663665031,3410.7154884896668,0
F,93,3.095512916553818,338.78537182027736,4421.629432940492,0
F,94,2.7760987221084967,372.81487097965595,5986.568104375476,0
F,95,2.982591053142226,347.1478389542755,5495.956147427745,0
F,96,3.1329553144929796,336.55208191983684,3930.550761228437,0
F,97,2.7190072321183787,405.8114634044358,2957.380261504822,0
F,98,3.2472169027707736,317.5863990332367,5026.668693822451,0
F,99,3.02469331941048,348.6924783165303,4172.2075306827255,0
F,100,2.9898422284929445,371.8850808231437,2796.0015714429164,0
F,101,2.7059268586439957,385.36727048905806,5192.686651493876,0
F,102,2.685245216508829,395.42839075287503,4270.84909219346,0
F,103,2.7995758380172724,392.12812831500753,3228.776827668647,0
F,104,2.691704118972539,408.07438156735327,3099.3248242995937,0
F,105,2.8680336653693694,375.7650177670859,3412.699556185376,0
F,106,2.906827379691466,359.62921549180885,4756.664325253919,0
F,107,2.9037574890468263,375.9081324954636,3151.6359294442636,0
F,108,2.8446057110457597,380.5381650538458,3558.2127712109095,0
F,109,2.508188726612888,438.2880692768463,3178.254658671141,0
F,110,2.7029922157390702,399.2295693756056,3820.00402415682,0
F,112,3.0910613075532902,331.93879374562397,6043.331950608176,0
F,113,3.3087708242752853,304.1063611151039,8618.21116393036,0
F,114,2.7985993988312297,380.9839752204411,4067.7080546510188,0
F,115,2.9321711197827143,354.5585605245378,5557.969184152579,0
F,116,2.5441474644044244,423.8360666607686,3615.4441765786373,0
F,117,2.554447356824204,434.6252361740762,3173.3232449946813,0
F,118,2.6867628406127215,389.9302841163072,5072.692235428906,0
F,119,3.1269840001948843,326.3898948002402,5957.482251511619,0
F,120,2.88562990482036,363.1326901826537,4811.8630580418485,0
F,121,3.284372345447329,310.3818150757917,6480.548128427094,0
F,122,3.23438420686502,325.86667386653664,3912.272328760984,0
F,123,3.015171608497402,390.52547065503546,1861.4584553457485,0
F,124,3.1179524064685937,335.3782781678064,4391.796458050403,0
F,125,3.392414428800677,306.18285869866895,4550.386647243381,0
F,126,3.1418640408339913,336.07918662660137,4022.9611354163276,0
F,127,2.800208245666308,372.5999055997776,5240.9539354935905,0
F,128,3.09364832458677,345.71943945328934,3768.0740984277368,0
F,129,3.4426735281244945,305.65117381992013,3861.0482559072607,0
F,130,2.602781464081772,465.6910164262864,1903.4232799481701,0
F,131,3.1038835474651543,345.06748294864263,3351.5953855851085,0
F,132,2.990018726868855,360.92204941813725,3123.915890411998,0
F,133,3.0974773369977266,335.4020053508388,5097.659699565704,0
F,134,2.7608274904304846,386.234951956129,4076.246547867854,0
F,135,2.8380255909072414,368.29577976879693,5180.9818184346395,0
F,136,2.7855639216865646,386.5647909668382,3529.6999382543445,0
F,137,2.904259750282207,358.4015273508492,5130.88977242815,0
F,138,2.559944752409906,404.58149558021023,5889.711964702473,0
F,139,2.646715229710807,407.0829228244298,3810.7460209819974,0
F,140,2.8522981875490494,370.89249800937796,4352.868732307864,0
F,141,2.7806979339477214,381.94599620630163,4072.2640793408946,0
F,142,2.672290922830804,390.59704514199444,5333.320838555141,0
F,143,3.0980823871478367,338.4197530369889,4196.531654610226,0
F,144,2.850782719290779,378.461475383319,3511.1261281961133,0
F,145,2.701320470219061,467.66897671399454,1601.0740616105302,0
F,146,2.163220294391037,792.0744551160841,1057.7144639674443,0
F,147,2.736280421631663,391.45481348569035,4203.276252586262,0
